slug,category_title,doc2vec,doc2vec-full-text,doc2vec-old,lda_full_text,tfidf,tfidf-full-text,tfidf_full_text,word2vec-cswiki-eval-1,word2vec-eval-1,word2vec-eval-2,word2vec-eval-3,word2vec-eval-4,word2vec-fasttext-full-text,word2vec_eval_3
home-office-dava-vetsi-volnost-zamestnance-vsak-stoji-mesicne-1-400-korun,Finance,,,0.06,,,0.0,,1.0,1.0,0.0,0.48,1.0,0.93,
hral-na-me-kina-jak-je-hodnej-popsala-kriminalnika-vymenena-manzelka,Vztahy,,0.33,,,,0.0,,0.7,0.64,0.0,0.72,0.81,0.86,
hypoteky-dal-zdrazuji-urokove-sazby-mohou-atakovat-az-4procentni-hranici,Finance,,0.84,,,,0.0,,1.0,1.0,0.0,0.6,1.0,0.59,
izrael-daroval-cesku-tisice-davek-vakciny-vymenou-za-diplomatickou-podporu,Zahraničí,,,,0.5,,,,,,,,,,
jagr-pred-barazi-odmitl-burt-citim-se-zase-dobre-nechci-to-zkazit-rekl,Sport,,,,,,,0.89,,,,,,,
jak-trapne-a-bude-hur-jsme-fotbalovym-trpaslikem-nemecko-vstrebava-dalsi-blamaz,Sport,,,,,,,,,,,,,,0.91
jake-jsou-danove-povinnosti-kdyz-vlastnite-ci-pronajimate-nemovitost,Finance,,,0.21,,,0.0,,1.0,1.0,0.0,0.76,1.0,0.79,
jarni-boj-o-zachranu-zahaji-posileni-fotbaliste-taborska-ve-vlasimi,Domácí,,,,,,,,,,,,,,0.97
je-idealni-cas-na-vysev-rajcat-svetlo-a-teplo-jim-date-i-za-oknem,Ostatní,,,,,,,,,,,,,,0.5
je-to-smutne-byla-mlada-jeste-nemela-odejit-rika-formanova-o-fuchsove,Sport,,,,,,,,,,,0.87,,,
jilkovi-navrat-na-letnou-nevysel-chybela-kvalita-vedel-olomoucky-trener,Sport,,,,,,,,1.0,,,0.75,,,
jirina-bohdalova-je-kvuli-neustupujici-chripce-a-bolestem-v-nemocnici,Celebrity,,,,,,,,,,,,,,0.33
jmenuje-se-dita-cesi-nabizeji-svetu-houfnici-pro-bojiste-budoucnosti,Ostatní,0.83,,,,,,,,,,,,,
kapesne-pro-deti-komu-patri-penize-na-detskem-uctu-a-jaky-vybrat,Finance,,0.59,,,,0.0,,1.0,1.0,0.0,0.94,0.67,0.17,
ketamin-pomaha-lepe-se-vyrovnat-s-narocnym-prozitkem-rika-psychoterapeutka,Zdraví,,,,,,,,0.43,,,0.6,,,
kldr-se-udajne-pokusila-pfizeru-ukrast-technologii-na-vyrobu-vakcin,Zahraničí,,,,,0.55,,,,,,,,,
klistova-encefalitida-nebo-borelioza-prevence-i-nasledky-se-lisi,Zdraví,,,,,,,,0.57,,,1.0,,,
komentar-horecka-prasivych-dluhopisu-nekonci-obezretnost-je-namiste,Finance,,,0.88,,,0.0,,1.0,1.0,0.0,0.78,0.79,0.99,
kviz-pecujete-o-nemocneho-vite-jak-vam-pomuze-stat,Finance,,,,,,,,0.72,,,0.6,,,
lecil-jsem-se-u-apolinare-reporter-stravil-den-na-klinice-pro-zavisle,Ostatní,,,,,,,,0.45,,,1.0,,,
lyon-prohospodaril-dvoubrankovy-naskok-a-prohral-pariz-st-germain-ma-bod,Zahraničí,,0.83,,,,0.0,,0.12,0.0,0.0,0.8,0.73,0.97,
macaulay-culkin-se-stal-poprve-otcem-syna-pojmenoval-po-zesnule-sestre,Vztahy,0.42,,,,,0.0,,0.16,0.99,0.0,0.89,0.78,0.43,
maskeri-mezi-sebou-sdileji-nepekne-fotky-realnych-ran-rika-expertka-na-efekty,Vztahy,,,,,,,,0.62,,,0.64,,,
matej-stropnicky-zil-s-sestinasobnou-matkou-jeho-partner-hlidal-jeji-deti,Vztahy,0.41,,,,,0.0,,0.36,0.99,0.0,0.83,1.0,0.87,
mesic-do-extraligy-format-odchody-hvezd-kladno-doma-a-hon-na-dynamo,Sport,,,,,,,,0.34,,,0.95,,,
metani-nakazenych-mrtvol-sipy-s-jedem-dejiny-spinavych-zbrani-jsou-dlouhe,Ostatní,,,,,,,,,,,0.85,,,
milan-zachranoval-remizu-barak-pomohl-hellasu-k-vitezstvi,Zahraničí,,,,0.17,,,,,,,,,,
moje-deti-ted-vice-vychovavaji-me-nez-ja-je-rika-lukas-langmajer,Vztahy,,,,,,,,0.82,,,0.45,,,
na-pc-miri-dalsi-playstationove-exkluzivity-potvrzeny-je-uz-days-gone,Hry,,,,,,,,,,,0.7,,,
na-rozjezd-sexshopu-mu-pujcil-tata-dnes-ma-rocni-obrat-pres-20-milionu,Finance,,,,,,,,0.21,,,0.84,,,
nadaval-na-hamburgery-pak-osolil-argentine-ctvrtfinale-weghorsta-sepsul-i-messi,Sport,,,,,,,0.39,,,,,,,
nahubky-ktere-chrani-jak-je-vybrat-a-jak-o-ne-pecovat,Zdraví,,0.82,,,,0.0,,0.0,1.0,0.0,0.75,1.0,0.3,
nalit-do-sebe-10-piv-obrovske-zatizeni-srdce-muze-selhavat-varuje-kardiolog,Zdraví,,,,,,,,0.07,,,0.73,,,
nataceni-nekterych-scen-bylo-psycho-vzpomina-hvezda-padesati-odstinu-sedi,Vztahy,,,,,,,,0.87,,,0.76,,,
nedonaseji-oznamuji-nekalosti-jak-v-cesku-funguje-whistleblowing,Finance,,,,,,,,0.55,,,1.0,,,
nejcastejsi-chyby-ve-smlouvach-a-nejvetsi-zaludnosti-zivotnich-pojistek,Finance,,,,,,,,,,,0.34,,,
nejtezsi-ale-nejzabavnejsi-brankar-dvacitky-suchanek-si-zapas-s-kanadou-uzil,Sport,,,,,,,,1.0,,,0.46,,,
nejvyssi-cas-na-rychleni-kvetu-na-vanoce-promente-cibulky-v-krehky-kvet,Ostatní,0.09,,,,,,,,,,,,,
nemate-cas-pres-tyden-zdravi-prospiva-i-vikendove-cviceni-rika-studie,Ostatní,,,,,,,,0.58,,,1.0,,,
nemoc-leci-vztahy-v-rodinach-rika-lekar-umirajicich,Zdraví,,1.0,,,,0.0,,1.0,0.58,0.0,1.0,1.0,1.0,
nepodcente-rizika-letniho-koupani-pozor-na-mykozu-i-smrtici-bakterie,Zdraví,,,,,,,,0.89,,,0.72,,,
nevera-nemusi-vzdy-znamenat-konec-nebojte-se-dat-vztahu-jeste-sanci,Vztahy,,1.0,,,,0.0,,0.0,0.85,0.0,0.67,0.64,0.99,
o2-zrychlilo-internet-vice-nez-milionu-domacnosti-zdvojnasobilo-rychlost,Technologie,,,,,,,0.78,,,,,,,
ocekavam-tezky-rok-rok-a-pul-rika-ekonom-bezdek-zdrazovani-se-mu-zda-prehnane,Finance,,,,,,,,0.63,,,0.99,,,
osm-mytu-o-oparech-pomuze-zubni-pasta-chlad-a-imunita,Zdraví,,,,,,0.0,,0.08,0.85,0.0,1.0,1.0,1.0,
pardubice-ceka-turnaj-v-italii-zahranicni-souperi-nas-proveri-veri-zadina,Sport,,,,,,,,1.0,,,0.69,,,
pastrnak-hertl-a-kubalik-se-strelecky-prosadili-zadina-asistoval,Sport,,0.76,,,,0.0,,0.46,1.0,0.0,0.31,1.0,1.0,
pet-mytu-o-akne-zpusobuje-ho-spatna-hygiena-lecbu-urychli-vymackavani,Zdraví,,,,,,,,0.9,,,0.44,,,
plzen-po-tesnych-vyhrach-spustila-kanonadu-sparta-se-stestim-slavia-ztratila,Sport,,0.86,,,,0.0,,0.23,0.0,0.0,1.0,0.68,0.92,
podlahy-z-betonu-jsou-idealni-pro-podlahove-topeni-musi-se-vsak-umet,Ostatní,,,,,,,,,,,0.62,,,
pohar-hlavne-at-je-na-konci-sezony-rika-pardubicky-utocnik-matys,Sport,,,,,,,,1.0,,,1.0,,,
ponedelnik-ta-nase-ceska-liga-surova-jak-vymytit-fauly,Sport,,,,,,,,1.0,,,1.0,,,
porucha-imunity-je-prvni-znamka-ze-je-v-nasem-zivote-neco-spatne-rika-lekarka,Zdraví,,,,,,,,0.97,,,1.0,,,
pozor-na-pusu-tyto-osemetne-vety-svobodne-zene-nikdy-nerikejte,Vztahy,0.68,,,,,0.0,,0.25,0.79,0.0,0.73,0.44,0.33,
prechod-krkonos-snih-a-romantiku-nahradily-davy-turistu-a-podpapiraky,Ostatní,,,,,,,,,,,,,,0.72
predduchod-lidem-odepira-slevu-na-dani-je-to-nespravedlive-rika-ombudsman,Finance,,,,,,,,,,,0.63,,,
pribeh-jirky-exmanzelcin-novy-kamarad-se-az-prilis-zajima-o-nasi-dceru,Vztahy,,,,0.41,,,,,,,,,,
pribeh-marka-zena-chce-dite-ja-karieru,Vztahy,,1.0,,,,0.0,,0.1,0.62,0.0,0.82,0.26,1.0,
priste-se-radsi-soustredte-na-fotbal-vzkazal-wenger-nemeckym-fotbalistum,Sport,,,,,0.56,,,,,,,,,
proc-obezni-prohravaji-s-covidem-proplouvaji-systemem-byvaji-podvysetreni,Vztahy,0.78,,,,,0.0,,0.93,0.65,0.0,0.77,1.0,0.98,
proc-uz-pred-svatbou-je-treba-mluvit-otevrene-o-financich-i-zdravi,Finance,,,,,,,,0.5,,,0.39,,,
prodej-zbrani-po-deseti-letech-stagnuje-nizsi-export-hlasi-rusko-i-cina,Ekonomika,,,0.0,,,0.0,,0.63,0.69,0.0,0.81,0.39,0.98,
prodejce-zaskocilo-zavreni-obchodu-na-velky-patek-zvysi-to-plytvani-rikaji,Ekonomika,,,,0.21,,,,,,,,,,
rec-krevnich-skupin-co-o-nas-vypovidaji-a-ovlivnuji-prubeh-nemoci-covid-19,Zdraví,1.0,,,,,0.0,,0.0,1.0,0.0,1.0,1.0,1.0,
resident-evil-village-vyjde-v-japonsku-bez-scen-se-setnutim-hlavy,Hry,,,,,0.74,,,,,,,,,
rusko-sklidilo-na-okupovane-ukrajine-psenici-za-miliardu-dolaru-tvrdi-nasa,Ekonomika,,,,,,,,,,,,,,0.89
rychle-a-sikovne-konecne-nastal-necasuv-cas-ten-cech-umi-letat-pisou-o-nem,Sport,,,,,,,,,,,0.5,,,
salah-pomohl-hattrickem-ztrapnit-united-soucek-byl-u-vyhry-nad-tottenhamem,Zahraničí,0.86,0.87,,,,0.0,,0.44,0.0,,1.0,0.99,0.84,
sama-vyrustala-v-ustavu-ted-je-pestounkou-pomozme-detem-bez-rodin,Vztahy,,,,,,,,0.73,,,0.63,,,
serial-slunecna-pokracuje-odmita-prima-spekulace-o-jeho-konci,Kultura,,,,,,,0.49,,,,,,,
sex-maji-nezne-city-jsou-jim-ale-cizi-jaky-zivot-vlastne-ziji-aromantici,Vztahy,,,,,,,,0.69,,,0.84,,,
sili-trend-byt-v-praci-jen-ctyri-dny-v-tydnu-evrope-slibuje-vic-produktivity,Ekonomika,,,,,,,,,,,,,,0.95
slavia-verze-2023-chce-balik-za-sora-a-utracet-lici-na-chytila-i-divocha-z-kluze,Sport,0.35,,,,,,,,,,,,,
soud-potrestal-exmanzela-spearsove-za-naruseni-svatby-stravi-64-dni-ve-vezeni,Vztahy,,,,,,,,0.95,,,0.57,,,
sparta-boleslav-10-hoste-zahazovali-tutovky-v-nastaveni-je-trestal-hlozek,Sport,,0.38,,,,0.0,,1.0,0.0,0.0,0.65,0.47,0.69,
sporici-ucty-uz-zhodnoti-vklady-i-o-vice-nez-5-procent-kde-uroci-nejvic,Finance,,,,,,,,0.76,,,0.56,,,
stribro-v-brne-nejlepsi-obdobi-divisek-o-poteseni-z-bolesti-i-pivu-mezi-duely,Sport,,,,,,,,0.64,,,0.8,,,
sumava-je-misty-jako-sibir-rika-vedouci-projektu-na-zachranu-mokradu,Regionální,,,,,,,,,,,,,,0.55
svycari-chystaji-zakaz-zahalovani-obliceje-na-verejnosti-ma-sanci-uspet,Zahraničí,,,,,0.62,,,,,,,,,
top-5-nejlepsich-beznych-uctu-jednickou-je-moneta-prekvapila-cs,Finance,,,0.39,,,0.0,,1.0,0.91,0.0,0.35,1.0,0.59,
tradicni-remeslo-a-rucni-prace-se-ceni-i-dnes-jejich-znacka-slavi-uspech,Finance,,0.98,,,,0.0,,0.66,1.0,0.0,0.47,1.0,0.92,
tri-kluci-udelali-z-domu-minove-pole-architekti-jim-bydleni-zachranili,Ostatní,0.92,,,,,,,,,,,,,
v-serialu-rod-draka-je-zbytecne-mnoho-sexu-mysli-si-herec-matt-smith,Vztahy,,,,,,,,0.73,,,0.42,,,
z-voleje-tati-kde-je-modric-hubnik-o-plzenske-pohadce-rozvodu-i-potu-v-dilne,Sport,,,,,,,,0.88,,,1.0,,,
za-znalosti-v-kvizu-vyhrali-masazni-kurz-i-kloubni-vyzivu-zkuste-ho-take,Zdraví,0.88,,,,,0.0,,0.0,1.0,0.0,0.75,1.0,1.0,
zacha-rozhodl-o-vyhre-new-jersey-voracek-simon-a-palat-asistovali,Sport,,0.3,,,,0.0,,0.23,1.0,0.0,0.77,0.84,1.0,
zapach-z-grilu-hluk-sekacky-i-vecirku-pravnik-radi-jak-na-sousedske-problemy,Finance,,,,,,,,0.43,,,0.41,,,
zbavte-se-domacich-alergenu-sest-praktickych-rad-jak-na-to,Zdraví,,,,,,0.0,,0.0,1.0,0.0,0.35,1.0,0.79,
zdrazil-vam-dodavatel-elektrinu-nebo-plyn-brante-se-moznosti-je-nekolik,Finance,,,0.14,,,0.0,,1.0,1.0,0.0,0.94,1.0,0.5,
zemrela-sona-valentova-herecka-znama-z-filmu-kladivo-na-carodejnice,Kultura,,,,,,,0.32,,,,,,,
zhubnete-diky-lnenemu-seminku-mame-pro-vas-tipy-i-s-recepty,Ostatní,,,,,,,,0.72,,,1.0,,,
zustante-stihla-i-pres-vanoce-zobnete-si-jen-pernicku,Ostatní,,,,,0.97,,,,,,,,,
