title
"S pistolí přepadl brněnskou banku. V igelitce si odnesl desítky tisíc"
"Žena s domnělým policistou vydírá muže o peníze, kvůli choulostivým fotkám"
"Bývalou přítelkyni pronásledoval, pak ji bil ranami pěstí do hlavy"
"Na Tachovsku začne testování ve firmách a dezinfekce veřejných prostor"
"Nové mikroskopy z Brna „vyšťourají“ zlatá zrnka, zabojují i proti covidu"
"Pomoc i nutnost empatie. Covid mění chování lidí, strážníci mají víc práce"
"Řidič kamionu zavadil o viadukt a vysypal autodíly, škoda je 20 milionů"
"Z kamionu se na kruhovém objezdu odpojil návěs, řidič dostal pokutu"
"Ptačí chřipka zasáhla i Vysočinu, onemocněl velkochov drůbeže v Cerekvi"
"Z garáže u chaty zmizely historické motorky, zloděje i stroje hledá policie"
"Dal policistům za dveře trhavinu a utekl. Takto amnestii nemyslíme, varují"
"Podnikatel z Frýdku-Místku dostal dvanáct let vězení za objednávku vraždy"
"Vlak srazil a zabil na koridoru u Zábřehu člověka, provoz stál"
"Starostka: Další omezení na hranicích by pro Těšín byla fatální"
"Turisté houfně zaplavili Orlické hory. Parkoviště jim nestačí"
"Srážka byla pro cyklisty příliš tvrdá. Záchranáři se snažili marně"
"Chlapec se zřítil ze zledovatělé skály, záchranáři poslali vrtulník"
"Motorkář u Plzně narazil do neosvětleného auta. Vážně se zranil"
"Na Jesenicku hořela kotelna. Těžce popálenému se už nedalo pomoci"
""Motork\u00e1\u0159 u Plzn\u011b narazil do neosv\u011btlen\u00e9ho auta. V\u00e1\u017en\u011b se zranil""
""Na Jesenicku ho\u0159ela kotelna. T\u011b\u017ece pop\u00e1len\u00e9mu se u\u017e nedalo pomoci""
""Chlapec se z\u0159\u00edtil ze zledovat\u011bl\u00e9 sk\u00e1ly, z\u00e1chran\u00e1\u0159i poslali vrtuln\u00edk""
""Sr\u00e1\u017eka byla pro cyklisty p\u0159\u00edli\u0161 tvrd\u00e1. Z\u00e1chran\u00e1\u0159i se sna\u017eili marn\u011b""
"OKD už ví, kdy zavře dvě ze svých šachet. Skončí příští týden"
"Teplý prosinec zmátl husice, pár uprostřed zimy zahnízdil a vyvedl mladé"
"Deset tisíc za čtyři vraky. S první dražbou odtažených aut Bohumín uspěl"
"Poustevníky na Pustevnách připomene zvonička, složí se na ni lidé"
"Pod dvěma lidmi se propadl led na rybníku Mokroš. Pomoci museli hasiči"
"Hudebním školám v pololetí odešla část žáků. Nevyhovuje jim distanční výuka"
"Žena porodila tajně na ubytovně, dítě museli oživovat záchranáři"
"Lázně sčítají ztráty v desítkách milionů a děsí se dalšího bídného roku"
"Ne vražda, ale zabití, řekl opět soud a uložil devět let za smrt na faře"
"„U Stopařky“ se stala další nehoda, křižovatku snad přestaví na okružní"
"Turista se hrudníkem napíchl na klacek ve sněhu, zřejmě jel po zadku"
"Agresivní muž neunesl rozepře s partnerkou, zdemoloval policejní auto"
"Zdrogovaný mladík šel tábořit, policie ho našla pořezaného"
"Hudebkám odešla část žáků. Nevyhovuje jim distanční výuka a plné školné"
"Z dlouholetého dopravce je řidič MHD, další ale už podnik nepojme"
"Ubyla voda, zastavte těžbu! Česko žene Polsko k soudu kvůli dolu Turów"
"Opilý řidič vlákal hlídku domů a pokusil se napít alkoholu, pak se pral"
"Dvorský hrabáč se narodil jako podměrečný, ale mléko mu chutná"
"V Sušici odpojili pacienta z ventilátoru. Policie řeší úmrtí z nedbalosti"
"Na D1 se v obou směrech srážely kamiony s auty, směr na Prahu byl zavřený"
"Místo odpočinku shánějí řidiči kamionů u hranic test, opatření dusí firmy"
"Rozloučení v úzkém kruhu hornickém. Z Darkova vyjel poslední vozík s uhlím"
"Zloděj vyřízl otvor v boku dodávky, odnesl náčiní za stovky tisíc"
"Čich jde trénovat, ale vyléčit ho zcela neumíme, upozorňuje primář"
"Ve Smržovce hořela roubená chalupa, hasičům prořezal cestu vodní paprsek"
"Lidé mají problém objednat se na test, telefon je obsazený, chybí termíny"
"Opilec po nehodě vyhrožoval, že si něco udělá. Při vyjednávání usnul"
"Zbraň i nástroj pro přežití. Průzkumná četa z Hranic pokřtila nové nože"
"V Ostravě hořel pětipatrový dům, záchranáři evakuovali čtyři desítky lidí"
"Šestnáctiletý šofér řídil pod vlivem drog, policie jej přistihla už podruhé"
"Výbuch v Ostravě těžce popálil muže, v domě se podle svědků vařily drogy"
"Spor o zámek Opočno skončil, dědička neuspěla u soudu ve Štrasburku"
"Beran našel zalíbení v koze, jejich potomek teď požírá nezaplacené faktury"
"Řidič sanitky v mlze přehlédl středový ostrůvek, naboural do sloupu"
"Po střetu s felicií zemřel ve vesnici na Orlickoústecku starší řidič skútru"
"Mladý řidič auta srazil cyklistu a ujel, senior na místě zemřel"
"Zimu v Krkonoších nepřežily desítky uštvaných srn, lidé pouštějí volně psy"
"Souložící pár rušil sousedku, jako důkaz předložila strážníkům zvukový záznam"
"Sponzor Dynama a Zbrojovky končí s českým fotbalem. Škodí nám, vzkázal"
"Olomoucká zoo vylepšila a zvětšila expozici cizokrajných hadů a ještěrek"
"Hasiči v tričku tahali z ledové laguny hříbě ohroženého divokého poníka"
"Zašlou slávu hradecké sjezdovky má oživit architekt Vávra a syntetický sníh"
"Čtyřkolkář natankoval bez placení, měl zákaz řízení a schovanou značku"
"Překážková dráha pro seniory, kritizují lidé očkovací centrum v Opavě"
"Hokej hraje i bez nohy. Hlavně se nelitovat, říká mladý sportovec"
"Exposlance Severu zbavil soud obžaloby z podvodu s milionovými směnkami"
"Pivo je lék, tvrdil strážníkovi štamgast popíjející na předzahrádce"
"„Ségru“ máš radši, vyčetl osmiletý kluk matce a po hádce zmizel do tmy"
"Zdrogovaný řidič při honičce s policií splašil koně, pak zapadl v lese"
"Řidič na dálnici usínal. Kličkoval, narážel do svodidel a blokoval provoz"
"Pracovníka komunálních služeb vyděsilo ženské torzo, šlo o sexuální pomůcku"
"Asociace chce fotbalový stadion v Pardubicích hned. Jinak nováček spadne"
"Bylo tu mělké moře plné žraloků, líčí pravěk hradecký paleontolog"
"Muž si objednal eskortní službu. Sexu si neužil, zato přišel o zlato"
"Souzený je agresivní a nepřizná vinu, zaznělo k útoku střepem na zábavě"
"Muži zbývalo nanejvýš pár měsíců života, zachránila ho buněčná terapie"
"Zima zahnala do jeskyní v Jeseníkách více netopýrů než obvykle"
"Nesmějí do Německa ani do zavřeného Chebska. Jak se žije na konci světa"
"Z hotelu v Harrachově budou luxusní apartmány, proměna začne už letos"
"Podvodník nabízel masážní přístroj. Za seniorkami cestoval po celé zemi"
"Benešová podala stížnost ve prospěch muže, který ukradl pět housek"
"Takhle to dál nejde, hřímá Adamec. ODS má opustit hradeckou koalici"
"Na Jihlavsku se letos podaří zachránit první dva podzemní kamenné sklepy"
"V Chrastavě vzplanula hala s polyuretanem, hustý černý dým se valil na město"
"Cyklistka zavinila nehodu, ale zapomněla jméno řidiče. Hledá jej policie"
"Agresivní fena ohrožovala novou majitelku, žena se zavřela v kuchyni"
"Kvůli stříhání elektrického vedení se v neděli ráno zastaví D1 u Koberovic"
"Řidič se u školky věnoval synovi, s autem mu zatím odjel zloděj"
"Z okna bytového domu vypadl dvacetiletý muž, předtím v něm seděl"
"Chovu slepic ve Velkém Malahově na Domažlicku hrozí zásah exekutora"
"Výbuch v Hrabůvce zavinila varna drog, potvrdila policie. Má podezřelého"
"Deštné v Orlických horách skončilo provoz, vleky jezdily jen devět dní"
"Nesouhlas s přednostním očkováním starostky shodili zastupitelé ze stolu"
"Superbem z hřebčína teď pohne leda šestispřeží, auto je k mání za pár tisíc"
"Kamion se nevešel pod železniční most, z návěsu spadla třítunová podpěra"
"Končí Důl ČSA. Horníci symbolicky vyvezli poslední vozík černého uhlí"
"Z české chemičky míří „déčko“ do celého světa, našinci ho však mají málo"
"Globální oteplování našim vínům svědčí, říkají šéfové oceněného vinařství"
"Beze zbraně ze základny nevycházíme, vzpomíná na Špicberky výzkumník"
"V Chrastavě vzplanula hala s polyuretanem. Hasiči s ohněm bojovali 27 hodin"
"Covidový letecký most. Vrtulník z Líní převážel pacienty z plných nemocnic"
"Turnov požádá kvůli uzávěře o výjimku, jeho části totiž patří do tří okresů"
"Je třeba, aby se děti naučily nudit, říká odbornice na komunikaci v rodině"
"Ostravské stopy: Ostrava byla divočejší než jiná města, líčí propagátor sci-fi"
"Kraj dostane vakcíny AstraZeneca od Saska, využije je na očkování učitelů"
"Na tahu mezi Olomoucí a Přerovem zemřel po srážce aut jeden z řidičů"
"Brno-město a Brno-venkov budou kvůli opatřením považovány za jeden okres"
"Nová hrozba kvůli koronaviru. Nemocnice se bojí návratu opilců"
"Drama na louce. Zvířecí kamarádi kozlík a beránek týden unikali dopadení"
"Zloděj schoval kradenou pokladnu s penězi do sněhu, policii stejně neunikl"
"Hasiči vytáhli z rybníku rotvajlera, pod nímž se probořil led"
"Fotbal má poslední šanci, říká nyní už bývalý sponzor dvou klubů"
"Boží Dar uzavřel přístup na Klínovec, výjimku dostane jen někdo"
"Hoch uklouzl při sestupu z hory, hlavou se zaklínil do sněhové zábrany"
"Hurá na výlet. Mnozí Brňané si vyložili spojení okresů po svém"
"Opilý řidič opřel převrácené auto o dům, nadýchal skoro dvě promile"
"Muž se bál zákazu vycházení, po hádce s manželkou si ustlal za výtahem"
"Celníci zadržují respirátory a překupníci se smějí, zlobí se Podané ruce"
"Tady doklad nebyl potřeba, v autě těžce oddychovala žena mířící do porodnice"
"Při zákazu vycházení odpálil na tramvajovém pásu ohňostroj, hlídce neutekl"
"Z Pelhřimova do Pelhřimova se jde přes jiné katastry, výjimku zatím nežádá"
"Náměstek pro zdravotnictví se rekreoval v rizikové Keni, žádají jeho odvolání"
"Turnov dostal výjimku z uzávěry, jeho části patří do tří okresů"
"Lidé ze Strukova na Uničovsku nemohou kvůli uzávěře v podstatě vůbec nikam"
"Očkování na Černé louce odstartovalo, centrum zvládne až 1800 lidí denně"
"Na brněnských Vinohradech to znovu vře, lidé brojí proti hotelu s kluzišti"
"Útok nožem v ostravském bytě muž nepřežil, partnerka skončila ve vazbě"
"VIDEO: Kamion v protisměru se vyvalil z mlhy proti policejnímu autu"
"Tisíce dávek vakcíny z Německa dorazily do Karlovarského kraje"
"Pod kamionem se utrhla krajnice, padesát tun dřeva spadlo do potoka"
"Češi padělají koronavirové testy, stěžovali si na několik případů Němci"
"Recidivista od listopadového propuštění vykradl v Ostravě devadesát aut"
"Nemocnice spoléhá na naši dobrou vůli, kritizují odměny covidové sestry"
"První řidič zastavil, druhý předjížděl a málem srazil dívku na přechodu"
"Pardubický kraj vyhlásil stav hromadného postižení. Má plné JIP a omezí péči"
"Opilý řidič nezvládl drift a projel plotem na hřiště, město plochu upraví"
"Českému ráji došla trpělivost, cyklisté se už malebným údolím neprojedou"
"Za pokus o vraždu soka v lásce dostal bezdomovec z Prostějova osm let"
"Roční chlapec měl zlomené téměř všechny kosti, matku obvinila policie"
"Zloděj se soukal z další garáže, tentokrát si vyboural větší díru"
"VIDEO: Řidič dostal u nehody smyk a převrátil se, hasič sotva stihl uskočit"
"Ze 70 covidových pacientů je sto, hrana v sokolovské nemocnici se posunula"
"Místo přírody betonové zdi s ostnatým drátem. Obyvatelé Valdic v uzávěře trpí"
"Řidič vjel na přejezd, vlak jeho auto po nárazu tlačil ještě 300 metrů"
"Cyklistovi  na Trutnovsku vběhla do cesty srnka, pádem se těžce zranil"
"Život malé Mii ohrožoval postcovidový syndrom. Lékař to nepoznal, říká matka"
"Mladá žena a muž zemřeli po dvacetimetrovém pádu ze skály na Znojemsku"
"Obcházeli nařízení, dotaci si nezaslouží, vzkázali politici skiareálu"
"Cyklistka zemřela při srážce s autobusem, který jí patrně nedal přednost"
"Seniorka si kvůli izolaci sáhla na život, až pak ji dcera vzala k sobě"
"V Brně doladili systém, vjezd bez povolení do centra už ztrestá pokuta"
"Žena a muž zemřeli po dvacetimetrovém pádu ze skály na Znojemsku"
"Řidička vjela před vlak, jeden člověk v autě zemřel a dva se zranili"
"Biatlonová bublina ještě víc zpřísnila podmínky pro život v Novém Městě"
"Liberec s Jabloncem žádají o výjimku, chtějí volný pohyb mezi městy"
"Muž sháněl dřevo na topení, v cizí firmě pokácel třináctimetrový strom"
"Nemá brzdu, řekla soudkyně o muži, který vykláněl z okna sedmitýdenní dceru"
"Zaměstnanci berou testování jako povinnost i kolegialitu, říká šéf Madety"
"Věštkyně bez roušky prodělala, opilého výtržníka stál večírek pět tisíc"
"VIDEO: Muž praštil štěnětem o zem, natočila ho policejní kamera"
"Ivermektin vyjednala „bulharská spojka“. V Rakousku se běžně prodává"
"Opakovaně sem a tam i bez povolení. Hranice okresů půlí manželům zahradu"
"Verdikt o pardubickém stadionu nepadne, politici dostali klub do časové tísně"
"Muž se třemi promile vběhl pod auto, při nárazu prasklo přední sklo"
"Policejní doprovod i přístroj měřící nárazy. Do Temelína dorazilo palivo"
"Děti se propadly pod led. Dvě přepravily vrtulníky, třetí záchranáři oživují"
"Teď je všechno zrychlené, říká sestra z ARO, kde leží pacienti s covidem"
"Vlak na přejezdu narazil do auta, řidič i spolujezdkyně zemřeli"
"Dělníci se vracejí na další část D1, před víkendem začne omezení u Humpolce"
"Český jedlík si připsal nový rekord, za půl hodiny snědl devět tisíc červů"
"Svrčinová potvrdila nabídku na post hlavní hygieničky, mluvila s Blatným"
"Tři chlapci se propadli v Žamberku pod led, jednoho z nich museli oživovat"
"To ona napadala mne, já se jen bránil, tvrdí muž obviněný z týrání družky"
"Policisté zaskočili běžkaře v Jizerkách, do stop vjeli na čtyřkolkách"
"Opravili starou promítačku, oprášili pásky. Kino se chystá na nedostatek filmů"
"Z rozhledny v Brně není vidět kvůli stromům, vedle chtějí postavit jinou"
"Nákladní vůz dostal smyk a vrazil do policejního auta, hlídku zranil"
"Za vylákání pornozáběrů od dětí dostal recidivista znovu přes pět let"
"Stovky památek v Brně přišly o ochranu, politici z ODS už žádají o demolici"
"Řidič auta dostal na sněhu smyk a srazil se s kamionem, na místě zemřel"
"Sdružení měst z Karvinska žádá po vzoru Plzně volnou cestu do Ostravy"
"Ve věku 79 let zemřel duchovní a chartista František Lízna"
"Před hlídkou ujel do dvora a od auta utekl. Zákaz řízení má do roku 2027"
"Brněnští lékaři našli způsob, jak léčit onkologické pacienty s covidem"
"Jeden ze tří chlapců, kteří se topili pod ledem v Žamberku, zemřel"
"Lázně se bouří, kvůli zakázané léčbě samoplátců přišly o klienty"
"VIDEO: Safari park oslavuje další mládě hrošíka, druhé po 15 letech"
"Štamgasti nechodí do hospod a kupují si malé sudy, pivovary musí reagovat"
"Vlak na Táborsku usmrtil člověka, provoz na trati je přerušený"
"Jen dobře informovaný občan jedná systémově, říká autor chytrého rozhlasu"
"Olomouc bourá dům, jenž blokuje tramvajovou trať. Dala za něj pět milionů"
"Šumava je místy jako Sibiř, říká vedoucí projektu na záchranu mokřadů"
"Zoo zavřenou kvůli covidu odstřihli od plynu, ryby a korály uhynuly"
"Ubytovnou v Plzni otřásl výbuch. Jeden muž vyskočil z okna"
"Pec v karlovarském krematoriu je mimo provoz. Zesnulé převážejí jinam"
"Kouřil přes zákaz. V chatě pak uhořelo osm lidí, z toho čtyři děti"
"Policejní hlídky fungují, perla Krušných hor zažívá idylický víkend"
"Retro, které přežilo. Kávoviny Pardubice vyrábějí meltu i po 125 letech"
"Ve skále v Českém ráji se zaklínil pes, zachraňovali ho hasiči"
"Pec pod Sněžkou je vylidněná. Po obvyklém ruchu není ani památky"
"Z Bedřichova se stalo město duchů, běžkaře vystřídali policisté"
"Nadšenci na nádraží postavili saunový vagon. Na začátku improvizovali"
"Ostravské stopy: Můj začátek? Přišla jsem o peněženku, vzpomíná Rywiková"
"Při nabíjení koloběžky začal hořet byt. Šest lidí muselo opustit domov"
"Skvosty brněnského technického muzea. Vystavuje jehlu i ženijní kolos"
"Biologové chtějí hospodařit ekologicky, soudí se proto s ministerstvem"
"Muž smrtelně bodl nevlastního syna, soud mu udělil čtyřletou podmínku"
"Strasti covidové nemocnice. Skokový nárůst pacientů, rychlý úbytek kyslíku"
"Kvůli zraněným dětem v utrženém skákacím hradu obvinila policie jednatele"
"Strážní, truhláři nebo řidiči. Na část horníků z OKD čeká rekvalifikace"
"V Náchodě zpřísňujeme, velí po vlastním těžkém covidu starosta Birke"
"Z kamionu se uvolnil led a proletěl policejním autem až na zadní sedadla"
"Čerstvý sníh zaskočil ráno řidiče, hasiči vyprošťovali několik lidí"
"Sláva kopřivnických vagonů sahala od Bangladéše po Argentinu"
"Žena si spletla jedničku se zpátečkou a brzdu s plynem. Narazila do domu"
"VIDEO: Přistižený zloděj se přikryl látkami. Policistům řekl, že usnul"
"Pozemky důležité pro brněnský okruh míří do dražby, ŘSD ji chce stopnout"
"Muž řval při hraní na playstationu, sousedé dvakrát volali strážníky"
"Polovina dětí s postcovidovým syndromem byla ve vážném stavu, říká primář"
"Sanitka odveze do Polska první covidovou pacientku z Orlickoústecké nemocnice"
"Obyvatele domu děsily v noci zvuky ze sklepa. Pár tu jezdil na bruslích"
"Brno zpoplatní vjezd do centra pro velká auta, popeláři platit nebudou"
"Domy objíždí falešní asfaltéři. Práci odbudou, seberou peníze a utečou"
"Sanitka veze do Polska první covidovou pacientku z Orlickoústecké nemocnice"
"Pozemky důležité pro brněnský okruh mířily do dražby, úřad prodej stopne"
"Násilník osahával ženy na intimních místech, usvědčila jej fotka"
"Soud zastavil stíhání strojvůdce, který vyjel v Ejpovicích proti vlaku"
"Důchodce v Třinci vytáhl nůž na pošťáka, nechtěl platit za dobírkový balík"
"Jedna z plynových lahví uskladněných v bytě vybuchla, muž dostal čtyři roky"
"Při nakládání šrotu se auto převrátilo na bok, řidič utrpěl těžké zranění"
"Lidem hrozí vyhoření. Práce z domova není žádná pyžamová párty, tvrdí expert"
"Kvůli shlukování lidí zrušila budějovická radnice smlouvy na předzahrádky"
"Brněnská laboratoř vyvinula hromadné PCR testy ze slin. Odhalí i mutace"
"Vlk se procházel kolem domů v Raspenavě. Nic neobvyklého, vzkazují ochranáři"
"Tady máš, ty debile! Lidem bez roušky stříkají mladíci sprej do obličeje"
"Z garáže na oběžnou dráhu. Palivové nádrže z Plzeňska letěly do vesmíru"
"Infuzní terapii začali využívat i ambulantní lékaři, pomáhá také po covidu"
"Roky neprodejná památka stojí tři miliony, zaujala několik možných kupců"
"V Krkonoších přibylo pokut. Skútry i selfíčkáři míří do zapovězených míst"
"Pardubický kraj je podjatý, o Elektrárně Opatovice se rozhodne na Vysočině"
"Z distanční výuky vypadly tisíce dětí, některé rodiny si udělaly prázdniny"
"Pomník s Masarykem zničilo gestapo i komunisté, teď mu škodí vandalové"
"Nejvíc vína proudí do Česka od Maďarů, v obchodech s Němci se fixluje"
"Muž s covidem porušil izolaci a chodil ke stánku, teď může dostat až osm let"
"Brněnští lékaři vypracují vlastní studii, aby prokázali účinky Ivermektinu"
"Psi žili v domě ve výkalech a veteši, majitelky čelí novému paragrafu"
"VIDEO: Mladík surově povalil seniorku s berlemi, pak ji vláčel za kabelku"
"Z jihomoravských vlaků zmizí průvodčí i hotovost, vše obstarají automaty"
"V domě v Plzni asi vybuchl kotel, záchranáři evakuovali dům"
"Alespoň trochu živé hudby v době zákazů. Trubači hrají ze střechy radnice"
"Šimpanzi ze dvou zoo se pozorují přes internet, chlubí se třeba krmením"
"Lékaři sestavili cviky pro tělo oslabené covidem, hlavní je posílení plic"
"V domě v Plzni začalo hořet, záchranáři evakuovali obyvatele"
"Zavřeným zoo posílají peníze návštěvníci, některé už prodávají zvířata"
"Mladík surově povalil seniorku s berlemi, pak ji vláčel za kabelku"
"Taxisův příkop při Velké pardubické už nebude tak hluboký a půjde natrénovat"
"Muži po závalu zůstalo nad zemí jen temeno hlavy. Hasiči ho zachránili"
"Švachula jako šéf i básník a hoši s referencemi. Soud přehrál odposlechy"
"Mladíky útočící sprejem na lidi v Turnově má policie, hrozí jim pokuta"
"Opilý muž na lince 158 hrozil, že v době covidu provede bombový útok"
"Vlna epidemie v Chebu doznívá, město se vnitřně promořilo, míní starosta"
"Muž přiložil expřítelkyni pistoli k hlavě. Když utekla, vystřelil po ní"
"Sněžka za pandemie osiřela. Poláci slaví šampaňským, jejich lanovky jezdí"
"Pardubice z ligy nespadnou. Stadion se bude opravovat, stvrdili zastupitelé"
"Zastřelili 14 lidí a pohřbili na mrchovišti. Protože se přihlásili k Němcům"
"Řidič na Jindřichohradecku nepřežil náraz do stromu, spolujezdec je zraněný"
"Zoo Ostrava se chlubí vlastním odchovem sekernatek, asi jediným na světě"
"Mladíci přelstili policisty na hranicích okresu, prozradilo je video"
"Vyčerpaným zdravotníkům pečeme dál, protože si jich vážíme, říká kaplan"
"Auto se skutálelo ze svahu do říčky, řidičku museli vyprostit hasiči"
"Místostarosta si vyjel na lyže do Polska, zastupitelé ho chtějí odvolat"
"Při požáru domku na Šumpersku překvapil hasiče třímetrový krokodýl"
"Vždyť to byla sranda, hájí se partička stříkající na lidi z auta"
"Policisté po 28 letech vypátrali ukradený obraz, sběratel ho dal do aukce"
"Politici vyostřili debatu o omítnutí historické Zelené brány, prošlo o hlas"
"Muž z Ostravy nechtěl, aby pes utíkal. Tak mu lankem svázal přední tlapky"
"Plány na minizoo zmařil osel dovádějící na ovcích, kozy dal majitel za odvoz"
"V pískovně na Táborsku utonul otužilec, potápěči ho našli až další den"
"VIDEO: V Ostravě havarovalo Porsche do sloupu, spolujezdce vyprošťovali"
"Reality show na Plzeňsku. Nizozemské celebrity soutěžily v Nevřeni"
"Chalupě z Čertího brka se už propadla střecha. Opravu zatím neplánují"
"Naštvaný režisér si to šel se mnou vyřídit ručně, říká filmový kritik"
"Jeskyňáře zaujal propad u silnice, může jít o neprobádané krasové podzemí"
"Ve shořelé boudě v Třinci našli hasiči ohořelé lidské tělo"
"Cestovatel prošel Hedvábnou stezku, dostal se jako první do knihy rekordů"
"V Krkonoších spadly dvě laviny. Zachráněná žena je v kritickém stavu"
"Na Šumpersku hořely garáže s auty, škoda je až 1,5 milionu korun"
"Na Brněnsku auto dostalo smyk, vyletělo ze silnice. Jeho řidič zemřel"
"Muž v Budějovicích si odmítl nasadit roušku, policisté proti němu zakročili"
"Režisér po mně chtěl chlupatý zvuk, vypráví hudební skladatel"
"Smějí se nám, že žijeme v plechovce, líčí průkopníci z lodních kontejnerů"
"Ústavní soud zrušil své verdikty z kauzy dvojnásobné vraždy, rozhodne znovu"
"Žena zavalená nedělní lavinou v Krkonoších zemřela, je druhou obětí za zimu"
"VIDEO: Žena vyskočila za jízdy ze sanitky, dobývala se do dalšího vozu"
"Dvě stejné nenajdete. Vyřezávané lavice od sv. Michala procházejí obnovou"
"Muž zbil přítelkyni, pak před hlídkou zapálil plyn unikající z hadice"
"Po Světovém poháru v biatlonu zase zavřeme, mrzí novoměstské hoteliéry"
"Opilec nadýchal tři promile, druhý den ho na záchytku vezli s pěti"
"ČEZ hledá firmu, která dokončí horkovod z Temelína. Skluz bude až dva roky"
"Plošné a pravidelné testování zachránilo těžbu, říkají manažeři OKD"
"Vrah ženy se čtyřlístkem na noze uniká už 15 let, mrtvolu našli v rybníku"
"Ze dvora u domu zmizela urna s ostatky, policie prověřuje i členy rodiny"
"Automobilového závodníka soudí za najíždění na pořadatele a sražení diváka"
"Za ohrožování nemocničního sanitáře nožem dostala žena 15 let vězení"
"Olomoucká zoo má podivuhodné pásovce kulovité, pokusí se o odchov mláďat"
"Vrahovi muže utopeného v septiku soud zamítl žádost na obnovu procesu"
"Ty už jsi venčil, běsnila žena. Muž chtěl nevinu dokázat kamerovými záznamy"
"V Polsku zemřela pacientka s covidem převezená z přeplněné nemocnice v Ústí"
"Vlajková loď Vítkovic končí, VHM prodá stroje a propustí zaměstnance"
"Řidič na dálnici D1 předjížděl zprava vězeňskou sanitku, pak ji vybržďoval"
"Trolejbusy na baterky stály město miliony, zastavil je první větší mráz"
"Autobus bez cestujících spadl z mostu do koryta řeky Smědé"
"Za chválu teroru v mešitách padlo šest let, obhajoba otazníků nezabrala"
"Kauza Stoka dál bobtná, nově policie stíhá pět podnikatelů a jejich firmy"
"Je to Rom, zamítá se. Radnice čelí nařčení z rasismu kvůli větě v zápisu"
"Policie rozprášila další drogový gang na jihu Čech, šéfoval mu Papež"
"Muž neměl po propuštění z vězení kde bydlet. S přítelkyní obsadili dva byty"
"Na dálnici D1 havarovalo až dvacet aut, zranilo se osm lidí"
"Hlídka zastavila auto s osmi dělníky bez roušek a dokladů. Byli i v kufru"
"Zdrogovaná dcera hledala jídlo, otce bouchla do hlavy zmrzlým masem"
"Vzácné koniklece pohlídají dobrovolníci, neukázněné turisty předají policii"
"Ptáky zabíjí nebezpečná nemoc, zdrojem nákazy jsou neudržovaná krmítka"
